P56528	P56528
P56528	Q64244
P56528	P28907
P56545	P56545
P56545	Q13363
P56719	P56719
P56719	O43614
P56719	P58308
P56719	O43613
P56719	P56718
P56719	P58307
P56726	P56726
P56726	Q99835
P56740	P56740
P56937	P56937
P57678	P57678
P57789	P57789
P57789	Q3LS20
P57789	Q9JIS4
P57789	O95069
P57789	Q8HY88
P57789	Q920B6
P58295	P58295
P58295	Q9Y345
P58295	P48029
P58295	P48067
P58295	P28571
P58295	P28572
P58295	Q28039
P58295	Q99884
P58295	P31645
P58295	P31652
P58295	Q60857
P58295	Q9MYX0
P58295	P48066
P58295	P31646
P58295	P31649
P58295	P31650
P58295	Q9NSD5
P58295	Q01959
P58295	P23977
P58295	Q61327
P58295	Q7JHP9
P58295	Q9GJT6
P58295	Q9H2J7
P58295	O55192
P58295	F1LNR9
P58295	P23975
P58295	Q63380
P58295	Q9WTR4
P58295	P23978
P58295	P30531
P58295	P31648
P58295	P31641
P58295	P31651
P58295	P48065
P58335	P58335
P58389	P58389
P58406	P58406
P58406	Q865E1
P58406	Q9JI35
P58406	Q9QYN8
P58406	Q9Y5N1
P58406	Q91ZY3
P58406	Q9H3N8
P58406	Q91ZY1
P58406	Q91ZY2
P58681	P58681
P58681	B3Y652
P58681	Q9NYK1
P58681	Q9EQU3
P58681	Q9NR96
P58681	Q9NR97
P58873	P58873
P58873	Q8VC82
P59533	P59533
P59534	P59534
P59534	P59535
P59534	P59551
P59534	Q9NYW4
P59534	Q9NYW5
P59534	Q9NYW7
P59541	P59541
P59541	P59537
P59541	P59538
P59541	P59539
P59541	P59540
P59541	P59542
P59541	P59543
P59541	P59544
P59541	Q7RTR8
P59541	Q9NYW1
P59541	Q9NYW3
P59541	Q9NYW6
P59541	Q9NYV8
P59541	Q9NYV9
P59541	Q9NYW0
P59541	Q9NYW2
P59541	P59536
P59591	P59591
P60033	P60033
P60484	P60484
P60487	P60487
P60568	P60568
P60891	P60891
P60900	P60900
P61158	P61158
P61158	P61160
P61158	P68135
P61158	P60010
P61244	P61244
P61316	P61316
P61431	P61431
P61769	P61769
P61794	P61794
P61794	Q92633
P61794	Q9HBW0
P61794	Q9JL06
P61794	Q9UBY5
P61794	Q9H228
P61794	O95977
P61794	P48303
P61794	H9EUW9
P61794	O08530
P61794	P21453
P61794	W5VNF7
P61794	O95136
P61794	P47752
P61794	Q99500
P61812	P61812
P61812	P01137
P61964	P61964
P62136	P62136
P62136	P36873
P62136	P62139
P62166	P62166
P62166	Q9VWX8
P62330	P62330
P62575	P62575
P62623	P62623
P62623	Q9HVM7
P62623	O67625
P62826	P62826
P62826	O14966
P62877	P62877
P63165	P63165
P63165	P61956
P67870	P67870
P67870	P67871
P68402	P68402
P68402	Q61206
P68431	P68431
P68849	P68849
P68849	P08312
P69328	P69328
P69834	P69834
P70496	P70496
P70496	Q13393
P70496	O14939
P70605	P70605
P70605	P70604
P70605	P70606
P70605	Q92952
P70605	Q9H2S1
P70605	Q9UGI6
P70605	O15554
P71716	P71716
P71716	Q56950
P72355	P72355
P75906	P75906
P76558	P76558
P78317	P78317
P78325	P78325
P78325	Q13443
P78325	P83512
P78325	Q9I9R4
P78352	P78352
P78362	P78362
P78362	Q96SB4
P78362	O70551
P78417	P78417
P78540	P78540
P78540	P05089
P78540	P07824
P78540	Q2KJ64
P78540	Q61176
P78540	O96394
P78549	P78549
P78600	P78600
P78600	P16659
P79074	P79074
P79391	P79391
P80365	P80365
P80365	P37059
P80365	Q8VD48
P80365	Q9BPW9
P80366	P80366
P81072	P81072
P81172	P81172
P81277	P81277
P84022	P84022
P86926	P86926
P87108	P87108
P90518	P90518
P93836	P93836
P93836	O23920
P93836	P32754
P93836	P32755
P93836	Q02110
P93841	P93841
P95160	P95160
P96878	P96878
P96878	Q5TU56
P97313	P97313
P97639	P97639
P97639	B6F061
P97639	Q8JZL2
P97639	Q8MJ89
P97639	Q99705
P98082	P98082
P98161	P98161
P9WFF6	P9WFF6
P9WFF6	A0A080SPQ8
P9WFF6	V5VCK8
P9WFF6	Q7U0P8
P9WFK7	P9WFK7
P9WFV1	P9WFV1
P9WFV1	P07813
P9WFX0	P9WFX0
P9WFX0	Q9X9I8
P9WFX4	P9WFX4
P9WG49	P9WG49
P9WGR1	P9WGR1
P9WGU9	P9WGU9
P9WGZ1	P9WGZ1
P9WGZ1	P0A7Z4
P9WGZ1	P66706
P9WH09	P9WH09
P9WH10	P9WH10
P9WH75	P9WH75
P9WHE9	P9WHE9
P9WHH1	P9WHH1
P9WHH1	P0A9P4
P9WHH1	C4LW95
P9WHH8	P9WHH8
P9WHH8	P9WHH9
P9WHJ3	P9WHJ3
P9WHV7	P9WHV7
P9WIA1	P9WIA1
P9WIA1	P11064
P9WIA1	P24666
P9WIA1	P41498
P9WIA1	Q9D358
P9WIB9	P9WIB9
P9WIC1	P9WIC1
P9WIK2	P9WIK2
P9WIL5	P9WIL5
P9WIP3	P9WIP3
P9WIQ1	P9WIQ1
P9WIQ1	Q48485
P9WJ60	P9WJ60
P9WJF1	P9WJF1
P9WJM9	P9WJM9
P9WJN3	P9WJN3
P9WJN3	P9WJN1
P9WK16	P9WK16
P9WKD7	P9WKD7
P9WKE1	P9WKE1
P9WMK9	P9WMK9
P9WMN1	P9WMN1
P9WMR3	P9WMR3
P9WMR3	Q9AQH7
P9WNF7	P9WNF7
P9WNP5	P9WNP5
P9WNV1	P9WNV1
P9WNV1	Q9AIU7
P9WNW0	P9WNW0
P9WP25	P9WP25
P9WPA7	P9WPA7
P9WPJ9	P9WPJ9
P9WPL0	P9WPL0
P9WPN4	P9WPN4
P9WPN4	P9WPN5
P9WPP0	P9WPP0
P9WPP0	P9WPP1
P9WPP0	P9WPL4
P9WPX7	P9WPX7
P9WQ18	P9WQ18
P9WQ18	P94451
P9WQ77	P9WQ77
P9WQD7	P9WQD7
P9WQD7	P9WQD8
P9WQD7	P9WQD9
P9WQD7	Q5TKS0
P9WQN9	P9WQN9
P9WQP7	P9WQP7
Q00024	Q00024
Q00024	O42713
Q00194	Q00194
Q00610	Q00610
Q00613	Q00613
Q00613	P38532
Q00985	Q00985
Q00987	Q00987
Q00987	P56950
Q00987	P23804
Q00987	O15151
Q00G26	Q00G26
Q01196	Q01196
Q01433	Q01433
Q01433	Q02356
Q01433	Q9DBT5
Q01433	P10759
Q01433	P23109
Q01433	Q3V1D3
Q01433	Q01432
Q01433	O09178
Q01538	Q01538
Q01693	Q01693
Q01717	Q01717
Q01717	P21761
